"no_match","closest_match"
"Aceros_waldeni","Aceros_nipalensis"
"Acrocephalus_luscinius","Acrocephalus_orinus"
"Anthreptes_pallidigaster","Hedydipna_pallidigaster"
"Aphrastura_masafuerae","Aphrastura_masafucrae"
"Aratinga_brevipes","Tringa_brevipes"
"Bubo_vosseleri","Bubo_shelleyi"
"Bucorvus_cafer","Turtur_afer"
"Camarhynchus_heliobates","Campylorhynchus_zonatus"
"Cinnyricinclus_femoralis","Cinnyricinclus_leucogaster"
"Colluricincla_sanghirensis","Cittura_sanghirensis"
"Eurynorhynchus_pygmeus","Aulacorhynchus_wagleri"
"Formicivora_littoralis","Formicivora_intermedia"
"Francolinus_ochropectus","Francolinus_pictus"
"Francolinus_swierstrai","Francolinus_pictus"
"Gallicolumba_erythroptera","Gallicolumba_crinigera"
"Gallirallus_okinawae","Gallirallus_australis"
"Garrulax_yersini","Garrulax_merulinus"
"Grus_leucogeranus","Otus_socotranus"
"Heteromirafra_sidamoensis","Heteromirafra_ruddi"
"Laterallus_spilonotus","Laterallus_spilonota"
"Neospiza_concolor","Xenospingus_concolor"
"Phalacrocorax_chalconotus","Phalacrocorax_capillatus"
"Phalacrocorax_onslowi","Phalacrocorax_carbo"
"Philydor_novaesi","Philydor_rufum"
"Polioptila_clementsi","Polioptila_lembeyei"
"Schoutedenapus_schoutedeni","Schoutedenapus_myoptilus"
"Sterna_bernsteini","Sterna_forsteri"
"Telophorus_kupeensis","Chlorophoneus_kupeensis"
"Thryothorus_nicefori","Thryophilus_nicefori"
"Zoothera_guttata","Zoothera_lunulata"
"Zosterops_cholornothos","Zosterops_chloronothos"
"Zosterops_conspicillatus","Forpus_conspicillatus"
